Sentence,Labels
stole the n-word,Swear words
should be cleansed of the earth,Mistreatment
are unlucky,"Belief, Personality"
are innocent,Personality
have damaged genitalia,Health
aren't supportive,Personality
can't find things if you hide them,Ability
make people cross the street,"Crime, Personality"
suck at fighting,Ability
let the germans walk right in,Belief
could be cannibalism,Belief
riot during blackouts,Crime
will do anything for water,"Financial status, Mistreatment, Personality"
are like barcodes,Appearance
hoard money,"Financial status, Personality"
don't give out money,Personality
don't like to help family,"Family & relationship, Personality"
"with drawfism are not ""real"" ","Health, Social status, Personality"
is a derogatory term for little people,"Social status, Personality"
hear voices,Ability
haven't changed anything,Ability
all get abortions,"Health, Family & relationship"
are noncooperative,Personality
will do anything,"Morality, Personality"
cannot dance or move right,Ability
are not protective when having sex,"Health, Family & relationship, Personality"
are exaggerated by the govt,Morality
can only get on the cover of national geographic,Social status
are recorded without consent,Mistreatment
with physical/mental illness are worth less,Health
are dehumanized as vegetables to be sold,"Social status, Mistreatment"
and muslims both go on suicide missions,Belief
hijack planes,Crime
are kamikazes,Belief
can't be helped,"Ability, Mistreatment, Personality"
chose to die and are fair game,"Belief, Mistreatment"
is a group against black people,"Crime, Morality, Swear words, Belief"
shouldn't reproduce,Family & relationship
shoot,Crime
are naive,Personality
are sexually frustrated,Family & relationship
is not viable,Ability
not involved,"Ability, Mistreatment"
don't pay child support,Financial status
are weird (body shaming),"Appearance, Mistreatment, Personality"
are misers,Financial status
talk big but don't do anything,Personality
won't pay for anything,"Financial status, Personality"
"took chemical ""showers"" during that time",Health
are the equivalent of machinery,"Social status, Personality"
dress over the top,Appearance
dress in loud colors,Appearance
are immobile,Health
are like vineger,Personality
breed too much,Family & relationship
don't care about them,Personality
wanted black folks to look like something burnt,"Crime, Swear words, Social status, Appearance"
aren't meant to be here,"Social status, Mistreatment"
have been abandoned,"Social status, Mistreatment"
have slits for eyes,"Health, Appearance"
are status orientated,"Belief, Personality"
were wiped out,Mistreatment
can't miss them,Ability
like to lighten their skin,Appearance
make you lesser,Morality
weigh less because they weren't allowed to eat a lot during the holocaust,"Health, Mistreatment"
weigh more,Health
is only good for prostitution,"Family & relationship, Morality"
are in the sex trade,Family & relationship
has a bad sex trade problem,Family & relationship
have no use,Ability
don't have quality organizations,"Social status, Personality"
"have a ""place"" in men's lives",Family & relationship
are sought after for porn,Family & relationship
use other people,Personality
sounds like boobs/breasts,"Family & relationship, Appearance"
will do anything to not take responsibility,Personality
are burnt in hate crimes,"Crime, Mistreatment"
"will ""fire"" without provocation","Crime, Personality"
was at a large tournament for gamers,Ability
don't have anyone,Family & relationship
doesn't have the medicine necessary for early child care,"Health, Family & relationship"
are screaming for help,"Mistreatment, Personality"
walk into things,Personality
has no areas that are first world,Social status
refuse to get on with their lives,Belief
sometimes enjoy the attack,"Crime, Belief, Personality"
are interested in special ed kids,Family & relationship
"are here for sexual benefit to men, only",Family & relationship
believe in violence,Belief
of victims mourn their loss,Mistreatment
have no reason to be upset,"Belief, Personality"
won't change anything,Ability
all ran away,Personality
is used as a synonym for dumb,Health
are sadists,Crime
were weak for being beaten by the kkk,Mistreatment
look like raisins,Appearance
are wrinkly,Appearance
are mooches,"Financial status, Social status, Personality"
wouldn't be helped,"Mistreatment, Personality"
provide only misery,Personality
are girls are only good for sex,Family & relationship
is probably a gang,"Crime, Social status, Belief"
always walk with gangs and thugs,"Crime, Personality"
are typically found at the end of a rope,Mistreatment
just waste societies resources,Social status
are disposed of uncaringly,Mistreatment
aren't rich people with cancer,Health
don't mind killing babies,Crime
are strippers at bachelor parties,"Family & relationship, Social status"
are bulimic/have eating disorders,Health
made a mistake,Ability
would fight an animal for survival,Ability
follow a tyrannical god,Belief
being compared to gorialls,Appearance
think wo are their property,Belief
are all assume to want to rob someone,Crime
can't do household fixes,Ability
