Sentence,Antonym,Labels
are jungle bunnies, are civilized individuals,"Appearance, Personality"
are prizes, are valuable,Social status
quit jobs without notice, give proper notice before leaving jobs,"Crime, Morality, Ability"
want long term relationships, enjoy brief encounters,Family & relationship
are tacky, are elegant,Personality
are looked down upon from being pregnant, are respected and valued for being pregnant,"Family & relationship, Social status, Mistreatment"
backstab each other, support and uplift each other,Morality
are obsessed with social media, enjoy spending time on social media in a healthy way,Personality
with tongue rings are freaky, with tongue rings are attractive,Appearance
is loyal, is unfaithful,"Appearance, Morality"
stay with their abusers, leave their abusers,Mistreatment
are dense, are sparse,Personality
should compare themselves, should not compare themselves,Personality
talk about stuff they shouldn't, talk about appropriate and respectful topics,"Morality, Social status"
lead men on, treat men with respect,Family & relationship
are clumsy, are graceful,"Ability, Personality"
that doesn't want sex isn't normal, that desires sex is natural,"Family & relationship, Belief, Personality"
are responsible fore cleaning up, are not responsible for cleaning up,Social status
are all temperamental, are all even-tempered,Personality
blame things they do on alcohol, credit their actions to their personal responsibility and self-control,Personality
are impure, are pure,"Morality, Personality"
only wear sexy halloween costumes, wear a variety of Halloween costumes,Appearance
are thugs, are gentle and kind-hearted,Crime
are teabaggers, are respectful,Social status
should earn men money, should earn women respect,"Family & relationship, Social status"
can be disrespected by black men, can be respected by black men,Social status
have sex with their clothes on, have sex with their clothes off,Family & relationship
are beefy, are slender,Appearance
talk shit about other , speak positively about others,"Morality, Personality"
cant eat much, enjoys eating a lot,Health
should get multiple women, shouldn't get multiple women,Morality
shave their vagina, maintain their natural hair at vagina,"Family & relationship, Swear words"
come and go often, rarely come and go,Social status
can't wear the same clothes as young folks, can wear the same clothes as young folks,Appearance
don't want just one decent woman, desire multiple exceptional men,"Family & relationship, Morality"
is easy for mentally disabled people, is difficult for mentally disabled people,Health
don't feel sad, do feel happy,Personality
are bad peoplw, are good people,"Morality, Personality"
need large chests, do not require large chests,Appearance
with small breasts are men, with small breasts are men,Appearance
wear durags, choose to reveal their hair,Culture
are possessive, are generous,Personality
need someone to tell them how to act, do not need someone to tell them how to act,"Ability, Personality"
are kept, are released,Social status
are btiches, are not bitches,Swear words
want to be pampered by men, desire to be spoiled by women,"Family & relationship, Social status"
need to be supported, do not need to be supported,Personality
will cheat you, will treat you fairly,Morality
can't compare to prettier ones, exceeds the beauty of others,Appearance
